x-axis,1,2
second,Volt,Volt
-68.7813E-09,-91.9720467537E-03,+120.4601117752E-03
-68.0000E-09,-104.0323481320E-03,+128.3294584246E-03
-67.2188E-09,-109.3388807385E-03,+140.2289557846E-03
-66.4375E-09,-116.2936545334E-03,+144.5706642808E-03
-65.6563E-09,-124.2936544477E-03,+148.1083526851E-03
-64.8750E-09,-136.1931518077E-03,+152.5907646974E-03
-64.0938E-09,-140.7760663315E-03,+160.4902621002E-03
-63.3125E-09,-144.5650110145E-03,+168.5304630191E-03
-62.5313E-09,-156.2936541050E-03,+171.0229253040E-03
-61.7500E-09,-168.3539554833E-03,+172.8018197573E-03
-60.9688E-09,-176.5549604206E-03,+180.5907643975E-03
-60.1875E-09,-181.9418950363E-03,+184.7716688753E-03
-59.4063E-09,-188.6655130547E-03,+192.6510657759E-03
-58.6250E-09,-192.7961662768E-03,+194.6611160056E-03
-57.8438E-09,-204.5348596184E-03,+196.9023220117E-03
-57.0625E-09,-207.1881259217E-03,+204.7113671542E-03
-56.2813E-09,-208.9670203750E-03,+208.8922716321E-03
-55.5000E-09,-220.6152614563E-03,+212.9123720915E-03
-54.7188E-09,-224.9569699525E-03,+213.0731761099E-03
-53.9375E-09,-232.8363668530E-03,+213.0731761099E-03
-53.1563E-09,-236.7760653033E-03,+220.7917689921E-03
-52.3750E-09,-241.0273215392E-03,+221.1133770288E-03
-51.5938E-09,-245.0574722498E-03,+223.0430252494E-03
-50.8125E-09,-252.9368691503E-03,+225.0530754791E-03
-50.0313E-09,-255.6705374627E-03,+225.1334774883E-03
-49.2500E-09,-257.2182761396E-03,+225.1334774883E-03
-48.4688E-09,-261.1378740876E-03,+228.9927739293E-03
-47.6875E-09,-265.1579745470E-03,+230.6008141131E-03
-46.9063E-09,-269.1780750065E-03,+233.0731758957E-03
-46.1250E-09,-273.1981754660E-03,+229.3143819661E-03
-45.3438E-09,-277.2182759254E-03,+225.2942815066E-03
-44.5625E-09,-273.5197835027E-03,+225.1334774883E-03
-43.7813E-09,-277.2182759254E-03,+225.1334774883E-03
-43.0000E-09,-281.2383763849E-03,+225.1334774883E-03
-42.2188E-09,-279.9519442378E-03,+225.1334774883E-03
-41.4375E-09,-277.4795824553E-03,+221.2741810472E-03
-40.6563E-09,-277.3790799438E-03,+221.1133770288E-03
-39.8750E-09,-281.2383763849E-03,+221.1133770288E-03
-39.0938E-09,-281.3991804032E-03,+221.1133770288E-03
-38.3125E-09,-281.3991804032E-03,+213.3947841467E-03
-37.5313E-09,-281.3991804032E-03,+210.6611158342E-03
-36.7500E-09,-273.6805875211E-03,+209.1133771573E-03
-35.9688E-09,-273.3589794843E-03,+205.1937792094E-03
-35.1875E-09,-273.3589794843E-03,+205.0329751910E-03
