Freq.	V(ref)/V(tee)
2.47000000000000e+07	1.66557394869532e+00,2.33231550885448e-01
2.48580000000000e+07	1.66964472535351e+00,2.32676099911665e-01
2.50160000000000e+07	1.67374458205107e+00,2.32048914964648e-01
2.51740000000000e+07	1.67787270075397e+00,2.31348373482425e-01
2.53320000000000e+07	1.68202820743674e+00,2.30572836991484e-01
2.54900000000000e+07	1.68621017009225e+00,2.29720652372308e-01
2.56480000000000e+07	1.69041759672367e+00,2.28790153238407e-01
2.58060000000000e+07	1.69464943332299e+00,2.27779661433880e-01
2.59640000000000e+07	1.69890456184068e+00,2.26687488654532e-01
2.61220000000000e+07	1.70318179815160e+00,2.25511938197551e-01
2.62800000000000e+07	1.70747989002280e+00,2.24251306844704e-01
2.64380000000000e+07	1.71179751508919e+00,2.22903886883957e-01
2.65960000000000e+07	1.71613327884383e+00,2.21467968274263e-01
2.67540000000000e+07	1.72048571264978e+00,2.19941840958179e-01
2.69120000000000e+07	1.72485327178126e+00,2.18323797326739e-01
2.70700000000000e+07	1.72923433350239e+00,2.16612134840827e-01
2.72280000000000e+07	1.73362719519221e+00,2.14805158812993e-01
2.73860000000000e+07	1.73803007252548e+00,2.12901185353352e-01
2.75440000000000e+07	1.74244109771909e+00,2.10898544482842e-01
2.77020000000000e+07	1.74685831785479e+00,2.08795583416684e-01
2.78600000000000e+07	1.75127969328935e+00,2.06590670020411e-01
2.80180000000000e+07	1.75570309616389e+00,2.04282196440294e-01
2.81760000000000e+07	1.76012630902480e+00,2.01868582909387e-01
2.83340000000000e+07	1.76454702356902e+00,1.99348281729742e-01
2.84920000000000e+07	1.76896283952740e+00,1.96719781430611e-01
2.86500000000000e+07	1.77337126369989e+00,1.93981611101631e-01
2.88080000000000e+07	1.77776970915720e+00,1.91132344899127e-01
2.89660000000000e+07	1.78215549462395e+00,1.88170606722688e-01
2.91240000000000e+07	1.78652584405848e+00,1.85095075058174e-01
2.92820000000000e+07	1.79087788644530e+00,1.81904487982170e-01
2.94400000000000e+07	1.79520865581609e+00,1.78597648321768e-01
2.95980000000000e+07	1.79951509151551e+00,1.75173428962273e-01
2.97560000000000e+07	1.80379403872841e+00,1.71630778294129e-01
2.99140000000000e+07	1.80804224928462e+00,1.67968725788995e-01
3.00720000000000e+07	1.81225638275817e+00,1.64186387693381e-01
3.02300000000000e+07	1.81643300787685e+00,1.60282972826849e-01
3.03880000000000e+07	1.82056860425844e+00,1.56257788470135e-01
3.05460000000000e+07	1.82465956448913e+00,1.52110246326995e-01
3.07040000000000e+07	1.82870219655923e+00,1.47839868541933e-01
3.08620000000000e+07	1.83269272667073e+00,1.43446293754294e-01
3.10200000000000e+07	1.83662730243023e+00,1.38929283167533e-01
3.11780000000000e+07	1.84050199643983e+00,1.34288726610815e-01
3.13360000000000e+07	1.84431281029762e+00,1.29524648568394e-01
3.14940000000000e+07	1.84805567901767e+00,1.24637214150628e-01
3.16520000000000e+07	1.85172647587828e+00,1.19626734978866e-01
3.18100000000000e+07	1.85532101770535e+00,1.14493674954939e-01
3.19680000000000e+07	1.85883507059581e+00,1.09238655884525e-01
3.21260000000000e+07	1.86226435608419e+00,1.03862462922327e-01
