Record Length,Analog:350
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH2:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:-2.000000E+00 CH2:-2.000000E+00 CH3:-2.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.0500000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
+2.120000E-07,+2.920000E+00,+2.960000E+00,+5.520000E+00
+2.140000E-07,+2.920000E+00,+3.160000E+00,+5.440000E+00
+2.160000E-07,+2.920000E+00,+3.360000E+00,+5.400000E+00
+2.180000E-07,+2.880000E+00,+3.440000E+00,+5.360000E+00
+2.200000E-07,+2.840000E+00,+3.400000E+00,+5.360000E+00
+2.220000E-07,+2.880000E+00,+3.320000E+00,+5.280000E+00
+2.240000E-07,+2.920000E+00,+3.280000E+00,+5.200000E+00
+2.260000E-07,+2.960000E+00,+3.200000E+00,+5.120000E+00
+2.280000E-07,+3.000000E+00,+3.120000E+00,+5.080000E+00
+2.300000E-07,+3.040000E+00,+3.080000E+00,+5.000000E+00
+2.320000E-07,+3.080000E+00,+3.120000E+00,+4.960000E+00
+2.340000E-07,+3.120000E+00,+3.240000E+00,+4.880000E+00
+2.360000E-07,+3.120000E+00,+3.440000E+00,+4.840000E+00
+2.380000E-07,+3.120000E+00,+3.680000E+00,+4.800000E+00
+2.400000E-07,+3.120000E+00,+3.960000E+00,+4.800000E+00
+2.420000E-07,+3.120000E+00,+4.240000E+00,+4.760000E+00
+2.440000E-07,+3.120000E+00,+4.400000E+00,+4.760000E+00
+2.460000E-07,+3.120000E+00,+4.520000E+00,+4.720000E+00
+2.480000E-07,+3.080000E+00,+4.560000E+00,+4.680000E+00
+2.500000E-07,+3.120000E+00,+4.680000E+00,+4.680000E+00
+2.520000E-07,+3.120000E+00,+4.760000E+00,+4.720000E+00
+2.540000E-07,+3.160000E+00,+4.840000E+00,+4.720000E+00
+2.560000E-07,+3.160000E+00,+4.880000E+00,+4.680000E+00
+2.580000E-07,+3.160000E+00,+4.960000E+00,+4.680000E+00
+2.600000E-07,+3.160000E+00,+5.000000E+00,+4.720000E+00
+2.620000E-07,+3.160000E+00,+5.040000E+00,+4.760000E+00
+2.640000E-07,+3.160000E+00,+5.120000E+00,+4.800000E+00
+2.660000E-07,+3.160000E+00,+5.160000E+00,+4.840000E+00
+2.680000E-07,+3.160000E+00,+5.240000E+00,+4.880000E+00
+2.700000E-07,+3.200000E+00,+5.280000E+00,+4.880000E+00
+2.720000E-07,+3.200000E+00,+5.320000E+00,+4.920000E+00
+2.740000E-07,+3.240000E+00,+5.360000E+00,+4.960000E+00
+2.760000E-07,+3.240000E+00,+5.400000E+00,+5.040000E+00
+2.780000E-07,+3.280000E+00,+5.440000E+00,+5.080000E+00
+2.800000E-07,+3.320000E+00,+5.480000E+00,+5.120000E+00
+2.820000E-07,+3.360000E+00,+5.520000E+00,+5.200000E+00
+2.840000E-07,+3.360000E+00,+5.600000E+00,+5.240000E+00
+2.860000E-07,+3.360000E+00,+5.640000E+00,+5.280000E+00
+2.880000E-07,+3.360000E+00,+5.680000E+00,+5.280000E+00
+2.900000E-07,+3.440000E+00,+5.640000E+00,+5.280000E+00
+2.920000E-07,+3.440000E+00,+5.600000E+00,+5.280000E+00
+2.940000E-07,+3.400000E+00,+5.600000E+00,+5.280000E+00
+2.960000E-07,+3.360000E+00,+5.560000E+00,+5.320000E+00
+2.980000E-07,+3.320000E+00,+5.520000E+00,+5.320000E+00
+3.000000E-07,+3.360000E+00,+5.480000E+00,+5.320000E+00
+3.020000E-07,+3.440000E+00,+5.480000E+00,+5.320000E+00
+3.040000E-07,+3.560000E+00,+5.440000E+00,+5.360000E+00
+3.060000E-07,+3.720000E+00,+5.400000E+00,+5.360000E+00
+3.080000E-07,+3.880000E+00,+5.400000E+00,+5.360000E+00
+3.100000E-07,+4.040000E+00,+5.360000E+00,+5.320000E+00
+3.120000E-07,+4.240000E+00,+5.320000E+00,+5.280000E+00
+3.140000E-07,+4.360000E+00,+5.320000E+00,+5.200000E+00
+3.160000E-07,+4.480000E+00,+5.280000E+00,+5.160000E+00
+3.180000E-07,+4.560000E+00,+5.240000E+00,+5.080000E+00
+3.200000E-07,+4.640000E+00,+5.200000E+00,+5.000000E+00
+3.220000E-07,+4.640000E+00,+5.200000E+00,+5.000000E+00
+3.240000E-07,+4.680000E+00,+5.160000E+00,+4.960000E+00
+3.260000E-07,+4.680000E+00,+5.120000E+00,+4.920000E+00
+3.280000E-07,+4.720000E+00,+5.080000E+00,+4.920000E+00
+3.300000E-07,+4.720000E+00,+5.120000E+00,+4.920000E+00
+3.320000E-07,+4.720000E+00,+5.120000E+00,+4.960000E+00
+3.340000E-07,+4.800000E+00,+5.120000E+00,+4.960000E+00
+3.360000E-07,+4.800000E+00,+5.120000E+00,+4.960000E+00
+3.380000E-07,+4.840000E+00,+5.080000E+00,+5.040000E+00
+3.400000E-07,+4.920000E+00,+5.080000E+00,+5.120000E+00
+3.420000E-07,+4.960000E+00,+5.040000E+00,+5.160000E+00
+3.440000E-07,+5.000000E+00,+5.040000E+00,+5.200000E+00
+3.460000E-07,+5.000000E+00,+5.040000E+00,+5.280000E+00
+3.480000E-07,+5.040000E+00,+5.040000E+00,+5.320000E+00
+3.500000E-07,+5.080000E+00,+5.040000E+00,+5.360000E+00
+3.520000E-07,+5.120000E+00,+5.080000E+00,+5.360000E+00
+3.540000E-07,+5.120000E+00,+5.080000E+00,+5.440000E+00
